,momentum_1y,momentum_6m,momentum_3m,momentum_15d
BAC,0.09941520467836207,-0.09196290571870147,-0.16250890947968655,-0.03192584963954681
BAX,-0.4998497144574692,-0.2324723247232472,-0.12788259958071335,-0.05722379603399408
BDX,-0.31066426658471247,-0.12922189562420328,-0.1992962415217503,-0.05914429530201348
BRK.B,-0.07671654681661899,-0.005681818181817455,-0.016578673706103553,-0.013263504294084627
BBY,-0.15471092077087856,-0.14844276661722966,-0.09122302158273365,-0.05022556390977406
TECH,-0.1117676852946129,0.04364213449712473,-0.1102655166582106,-0.021573368049098263
BIIB,0.33797468354430094,0.4045474678871974,0.07918321043675514,0.03430279967382499
BLK,-0.02601365328920302,-0.17746176221381704,-0.13458445532998264,-0.013348840620710511
BX,-0.2708233849512246,-0.39034962641875326,-0.3112757731958765,-0.030827817571856042
BK,0.3560080028245274,0.057646410868367415,-0.022482395859846127,0.000781725006514522
BA,0.08929773390172557,-0.08933177022274297,-0.1090925773006699,-0.1584694717684274
BKNG,-0.12017338385819021,-0.24610433482595284,-0.22912620645685233,-0.07705320492232426
BWA,0.8108197809492201,0.26325538319055264,0.20202687816699605,0.059829059829059617
BSX,-0.3142242222657019,-0.28425566673473557,-0.2696395082308818,-0.01572591968548176
BMY,0.003551496702182355,0.369173973234886,0.08641523251556205,-0.014285714285714568
AVGO,0.7032776816125927,-0.091439804610712,-0.12818314327360003,-0.07633610900832677
BR,-0.3288172676400052,-0.3196280815490923,-0.29961362838075134,-0.18815206880757274
BG,0.6905050505050527,0.5834489718682985,0.41830508474576233,0.07770241263844735
BXP,-0.2290819291109808,-0.2952191235059758,-0.23264893001735054,0.003782863627766364
CHRW,0.6419740973312413,0.25224483687518884,0.013259869217728149,-0.06696030330062452
CDNS,0.06487287652491003,-0.2002968205947836,-0.11689621481925139,-0.05430490397920995
CZR,-0.024691358024692467,0.040681906237893584,0.09811937857726827,0.01896813353565996
CPT,-0.20134228187919423,-0.07760657907174484,-0.09923382257915658,-0.08246356370474817
