,momentum_15d,momentum_3m,momentum_6m,momentum_1y,predicted_return_pct,current_price,predicted_price,mape,score
CMG,-0.08982714650042523,-0.1500396930404866,-0.1818644931227711,-0.35734293717486976,42.31,32.12,45.71,5.99,0.43129722526119085
PWR,0.00949761165734242,0.25619261280847394,0.36026446943324353,1.0898841817692109,-17.71,543.14,446.96,2.25,0.4312969813941938
A,-0.01374869474416962,-0.1788146645413704,-0.06869350862777313,-0.05360721442885663,-3.71,113.34,109.13,3.39,0.4312054161935696
AES,-0.010615711252653703,0.003589375448671772,0.0753846153846165,0.12379421221865061,-5.72,13.98,13.18,2.07,0.430979096493337
HRL,-0.06478064780647841,-0.060930424042816345,-0.06324435318275212,-0.2278266756939752,26.65,22.81,28.89,4.82,0.4302801265483317
JKHY,-0.02337677517386494,-0.09767818574514087,0.12653363893757508,-0.06902506963788368,1.6,167.11,169.78,4.73,0.43022101850292344
DOC,-0.026682134570765403,0.05006257822277793,-0.09444144630329288,-0.17217562900838734,3.52,16.78,17.37,2.75,0.43007112592905583
MET,-0.03694409591523784,-0.14821208384710238,-0.13833104652613193,-0.17486860965121853,9.64,69.08,75.74,4.62,0.42991400787370837
LKQ,-0.05582137161084566,-0.01986754966887383,-0.01102572669562396,-0.2759295499021537,20.91,29.6,35.79,6.13,0.42964827852749876
AXP,-0.008843379101698856,-0.22114530539735566,-0.12350796730757863,0.08198446686506422,-7.52,298.13,275.7,7.22,0.4295665470909055
REGN,-0.007440574175281878,-0.03883185614997153,0.3574799178703927,0.17863230487747694,-8.38,753.7,690.54,4.07,0.42954268675311913
NCLH,-0.00949525237381299,-0.1427335640138413,-0.20592948717948756,-0.017352503718392365,-7.21,19.82,18.39,5.24,0.4294039557607812
WY,-0.036400817995909995,-0.006745362563237989,-0.02362204724409467,-0.19727427597955693,8.79,23.56,25.63,3.82,0.4289031407644003
CAT,0.037548649604906004,0.21121743021374817,0.520327486390739,1.0651721001203094,-36.05,703.79,450.04,3.55,0.4286049751749464
DGX,-0.004378019323671323,0.12523460160382238,0.06853532080362945,0.18643559606620075,-10.72,197.85,176.65,2.68,0.4285944942487926
MAR,0.005779989490927839,0.03459239476026954,0.24952000614391934,0.3208849198295085,-16.88,325.4,270.46,2.09,0.42855239443976295
NDAQ,-0.026560726447219296,-0.13057583130575923,-0.009814109225263712,0.1064378789833591,2.65,85.76,88.03,4.01,0.4285275576089864
COST,-0.019557891358420787,0.12152084624033499,0.038003716485267125,0.05234035223700717,-1.8,977.54,959.94,2.46,0.4281045132209726
GDDY,-0.1288533333333335,-0.35632093316519486,-0.42049244305683664,-0.5536426736623483,64.14,81.67,134.05,8.97,0.4279011614472164
JCI,-0.006953892668178474,0.08318905103471019,0.24460022735884834,0.589787028073574,-9.77,131.38,118.54,2.94,0.42741924450666247
CSGP,-0.14711359404096813,-0.3826568818331585,-0.5031340405014466,-0.4864831194717816,74.65,41.22,71.99,10.21,0.4268852853336703
AAPL,-0.011652295502213916,-0.07134776103061946,-0.008880579574667813,0.14994577006507592,-7.27,254.46,235.96,5.05,0.42676211105730744
PRU,-0.04040404040404055,-0.1863310610033213,-0.0916186945067825,-0.1947759903130959,9.95,93.1,102.36,5.89,0.4264635678514166
ICE,-0.028042455674828215,-0.008123576835497026,-0.034794586177985254,-0.08191398461976629,2.05,161.17,164.47,2.54,0.4256300997824091
PAYX,-0.07350749975166371,-0.1861966669575078,-0.26257115749525595,-0.37836576912823283,29.39,93.27,120.68,4.78,0.4253712830632389
ZBRA,-0.07188112493732579,-0.17207448971293826,-0.32504640678864993,-0.29118947331778455,28.39,203.62,261.43,4.63,0.42533792574361357
ORLY,-0.024767146486028513,-0.0029217617141004126,-0.11785543322163783,0.0026115342763861626,-0.1,92.14,92.05,4.56,0.4252991578042463
WMB,-0.0025623735670936565,0.2421901242861937,0.16932806324110805,0.2357560568086885,-13.52,73.96,63.96,2.08,0.425295049876493
CME,-0.010102604577742813,0.1355570042010712,0.16791447834022466,0.19520469619577652,-9.05,313.55,285.17,2.52,0.4251276328872203
NTRS,-0.015034333212865736,-0.032035800539849,0.04237741910808657,0.34494670351362267,-6.22,136.27,127.79,5.09,0.4248367193526652
TYL,-0.08870751940058874,-0.2589328458893678,-0.34696734357322256,-0.4099454214675564,38.23,340.55,470.74,5.41,0.42470270334932836
